,expected_len,avg-rouge1-precision,avg-rouge1-recall,avg-rouge1-fmeasure,avg-rouge2-precision,avg-rouge2-recall,avg-rouge2-fmeasure,avg-rougeL-precision,avg-rougeL-recall,avg-rougeL-fmeasure,avg-bert-precision,avg-bert-recall,avg-bert-f1,gen_len,overflow_ratio
distil-BART+MCA without query,122.6125,0.3361,0.3515,0.3242,0.0887,0.1029,0.0883,0.1962,0.2163,0.1928,0.8625,0.831,0.8462,101.4375,0.0291
BART-large+MCA without query,122.6125,0.3032,0.3684,0.31,0.0839,0.1136,0.088,0.175,0.2213,0.1808,0.8493,0.8395,0.844,130.8125,0.0291
MCA+PMC,122.6125,0.3782,0.4444,0.3848,0.1393,0.1694,0.1426,0.2267,0.2735,0.2325,0.8597,0.8533,0.8562,128.05,0.0294
BART-eli5+MCA with query,122.6125,0.1318,0.1997,0.1505,0.0213,0.0346,0.0248,0.1068,0.1601,0.1216,0.8053,0.8036,0.8041,157.975,0.0293
MCA(non-finetune),122.6125,0.2971,0.4051,0.324,0.0918,0.1325,0.1018,0.1703,0.2422,0.1881,0.8558,0.8379,0.8465,142.0375,0.0293
BART(non-finetune),122.6125,0.319,0.4652,0.3591,0.1106,0.1666,0.1244,0.1783,0.2699,0.2027,0.8494,0.8499,0.8494,160.0,0.1402
distil-BART without query,122.6125,0.3673,0.3544,0.3393,0.1176,0.1175,0.1087,0.2079,0.2076,0.194,0.859,0.8395,0.8489,101.0375,0.1377
distil-BART with query,122.6125,0.3683,0.3607,0.3421,0.1154,0.116,0.1066,0.2104,0.213,0.1971,0.8606,0.8392,0.8495,101.025,0.1402
BART-large without query,122.6125,0.3577,0.4255,0.3645,0.1222,0.1515,0.125,0.2035,0.2541,0.2104,0.8575,0.8503,0.8536,129.125,0.1377
BART-large with query,122.6125,0.3741,0.4212,0.3718,0.1255,0.1484,0.1247,0.2107,0.246,0.2108,0.8601,0.8501,0.8548,122.075,0.1402
BART-eli5,122.6125,0.1597,0.2435,0.1802,0.0399,0.0652,0.0453,0.116,0.1871,0.1332,0.815,0.8114,0.813,155.3875,0.1402
BART,122.6125,0.3518,0.4391,0.3688,0.1237,0.1582,0.1294,0.2016,0.2591,0.2132,0.8532,0.8493,0.851,137.3,0.1405
BART+PMC,122.6125,0.372,0.4447,0.3834,0.1402,0.1646,0.1425,0.2159,0.2634,0.2235,0.8575,0.852,0.8545,131.075,0.1405
PEGASUS without query,117.125,0.36,0.3828,0.3494,0.1227,0.13,0.1176,0.2078,0.2304,0.204,0.8617,0.8634,0.8623,112.4125,0.1261
BigBird without query,117.125,0.2044,0.2682,0.2176,0.0452,0.0599,0.0481,0.1347,0.1844,0.1458,0.8164,0.8159,0.8159,136.65,0.0119
PEGASUS with query,117.125,0.3608,0.3882,0.3521,0.1282,0.135,0.1226,0.2106,0.2326,0.207,0.8635,0.8648,0.864,112.8875,0.1283
BigBird with query,117.125,0.2096,0.2613,0.2164,0.0464,0.0602,0.0495,0.1415,0.1792,0.1468,0.8165,0.818,0.8168,130.125,0.012
